dataset,accession
GlobalA,EPI_ISL_419245
GlobalA,EPI_ISL_419250
GlobalA,EPI_ISL_434564
GlobalA,EPI_ISL_434565
GlobalA,EPI_ISL_434566
GlobalA,EPI_ISL_434568
GlobalA,EPI_ISL_450409
GlobalA,EPI_ISL_450404
GlobalA,EPI_ISL_450405
GlobalA,EPI_ISL_435420
GlobalA,EPI_ISL_435419
GlobalA,EPI_ISL_435409
GlobalA,EPI_ISL_435416
GlobalA,EPI_ISL_435417
GlobalA,EPI_ISL_435430
GlobalA,EPI_ISL_435425
GlobalA,EPI_ISL_417780
GlobalA,EPI_ISL_417765
GlobalA,EPI_ISL_417776
GlobalA,EPI_ISL_417751
GlobalA,EPI_ISL_417850
GlobalA,EPI_ISL_417687
GlobalA,EPI_ISL_417856
GlobalA,EPI_ISL_417768
GlobalA,EPI_ISL_413522
GlobalA,EPI_ISL_413523
GlobalA,EPI_ISL_421668
GlobalA,EPI_ISL_421669
GlobalA,EPI_ISL_421672
GlobalA,EPI_ISL_435062
GlobalA,EPI_ISL_436416
GlobalA,EPI_ISL_454531
GlobalA,EPI_ISL_454536
GlobalA,EPI_ISL_458079
GlobalA,EPI_ISL_458081
GlobalA,EPI_ISL_437187
GlobalA,EPI_ISL_437189
GlobalA,EPI_ISL_437191
GlobalA,EPI_ISL_435282
GlobalA,EPI_ISL_435283
GlobalA,EPI_ISL_424349
GlobalA,EPI_ISL_437512
GlobalA,EPI_ISL_445088
GlobalA,EPI_ISL_418516
GlobalA,EPI_ISL_418548
GlobalA,EPI_ISL_418582
GlobalA,EPI_ISL_418583
GlobalA,EPI_ISL_418584
GlobalA,EPI_ISL_417432
GlobalA,EPI_ISL_418581
GlobalA,EPI_ISL_447447
GlobalA,EPI_ISL_447407
GlobalA,EPI_ISL_447406
GlobalA,EPI_ISL_447329
GlobalA,EPI_ISL_447319
GlobalA,EPI_ISL_447298
GlobalA,EPI_ISL_447286
GlobalA,EPI_ISL_419211
GlobalA,EPI_ISL_457749
GlobalA,EPI_ISL_457826
GlobalA,EPI_ISL_417419
GlobalA,EPI_ISL_451298
GlobalA,EPI_ISL_451299
GlobalA,EPI_ISL_451300
GlobalA,EPI_ISL_410545
GlobalA,EPI_ISL_451302
GlobalA,EPI_ISL_451306
